trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
381,False,"{'a': 1, 'e': 0.04677924881523865}",20,10,20.144786713130582,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 1, 'e': 0.04278326422991503}",20,2,30.15736855019571,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 1, 'e': 0.038786595113276444}",25,11,29.62413974135106,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 1, 'e': 0.03478930541194349}",30,16,28.73616034275212,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 1, 'e': 0.03079145908246612}",30,14,29.938955511340538,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 1, 'e': 0.026793120090300316}",20,6,26.519396805209112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 1, 'e': 0.02279435240878465}",20,7,20.769225151942003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 1, 'e': 0.01879522001811672}",35,24,24.689914433063045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 1, 'e': 0.01479578690432947}",25,10,13.84130182839683,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
390,False,"{'a': 1, 'e': 0.010796117058267392}",20,13,14.32072916031349,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 1, 'e': 0.006796274474562699}",20,11,13.113339989008741,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,18.087193425259162,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,16.94306371040547,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,28.19741464585023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,22.136125714658224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,33.265774345651415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,24,17.68132330625941,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,18,32.36454473940901,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,9,30.914656590210843,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,22,15.139028101878777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,22,12.681516422585773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
