trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-116.40872170701626,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-126.25730691930347,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-55.98620237026426,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-175.0166400782132,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-158.39134784077382,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-64.05445268282338,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-46.894673979990166,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,12,-21.15614211688849,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,10,-85.03806342885103,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
38,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-156.1802815751443,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-153.24685273928645,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,8,-125.18462431715434,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
41,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-41.34048717317434,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,-71.60166990279558,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-167.30868343440116,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-55.59172783317799,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,0,-110.69217936466481,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-108.02203363821576,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-115.71673113776062,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",1
48,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-33.500917002224156,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
